record_id,institution_id,department,course_id,faculty_id,semester,course_level,class_size,attendance_rate,student_engagement_score,lms_login_frequency,learning_material_views,assignment_submission_rate,assignment_average_score,quiz_average_score,midterm_exam_score,final_exam_score,course_completion_rate,discussion_forum_activity,student_question_count,faculty_response_time_hr,feedback_submission_rate,course_evaluation_score,teaching_material_quality,lecture_delivery_score,interactive_teaching_score,practical_session_score,assessment_fairness_score,curriculum_coverage_pct,technology_usage_score,student_satisfaction_score,faculty_experience_years,faculty_training_hours,peer_review_score,classroom_interaction_rate,academic_support_sessions,learning_outcome_achievement,instructional_effectiveness_score,overall_teaching_index,teaching_quality_level
12808,INST_13,Mathematics,COURSE_107,FAC_0334,Semester 3,Undergraduate,63,95.18,55.74,141,342,69.97,73.94,84.09,30.79,82.67,56.95,182,35,61.78,93.51,2.96,72.8,95.52,60.94,66.65,88.58,92.85,86.87,97.98,35,110.31,3.96,48.29,29,61.71,52.76,49.25,Good
6632,INST_06,Computer Science,COURSE_155,FAC_0428,Semester 3,Undergraduate,48,72.39,46.02,145,295,67.77,83.13,66.55,51.35,60.18,81.25,68,53,27.29,23.03,2.8,85.71,46.28,84.13,60.16,67.17,79.62,80.46,98.9,1,45.92,1.49,23.12,28,72.01,50.4,89.81,Good
6706,INST_06,Chemistry,COURSE_180,FAC_0007,Semester 1,Doctoral,70,90.76,42.68,129,396,93.58,57.56,97.42,36.74,94.46,70.26,41,46,71.48,31.71,2.94,52.48,62.05,81.17,93.29,75.37,87.79,21.15,53.63,35,17.07,3.73,82.18,4,44.37,48.83,88.41,Average
6979,INST_15,Biotechnology,COURSE_038,FAC_0136,Semester 1,Undergraduate,171,91.95,63.73,43,364,58.73,39.08,73.96,44.04,99.21,56.74,44,5,32.98,84.5,4.74,57.34,60.06,66.73,57.85,57.75,68.55,39.81,52.92,26,22.34,3.62,47.37,35,49.93,47.96,30.67,Average
7400,INST_12,Physics,COURSE_045,FAC_0578,Semester 3,Undergraduate,170,90.68,55.49,109,487,99.65,49.54,83.88,78.31,47.62,58.4,146,74,47.26,86.96,4.03,89.03,71.86,68.48,73.18,42.38,94.79,65.24,67.2,34,71.58,4.46,36.56,4,95.79,70.12,66.33,Good
11120,INST_18,Electrical Engineering,COURSE_066,FAC_0248,Semester 4,Undergraduate,67,82.28,86.52,127,235,74.75,80.47,55.2,65.93,90.96,76.3,188,43,59.66,84.26,3.08,55.2,70.67,97.27,42.76,67.92,61.75,60.2,30.73,27,27.63,3.25,80.93,48,99.76,91.03,73.26,Average
12666,INST_08,Biotechnology,COURSE_168,FAC_0365,Semester 4,Undergraduate,132,57.76,86.61,47,344,66.95,99.87,56.86,35.78,79.08,60.63,144,75,31.72,72.43,2.62,41.6,59.33,50.23,46,66.31,69.6,53.18,59.47,31,51.77,2.99,87.76,44,40.26,46.36,44.84,Average
5305,INST_18,Civil Engineering,COURSE_125,FAC_0479,Semester 3,Postgraduate,58,94.32,98.96,23,111,81.85,60.62,67.73,37.16,28.51,73.88,65,33,56.9,63.06,1.86,62.24,49.82,45.07,96.12,85.13,87.36,98.51,65.28,18,15.51,4.64,29.32,23,51.88,78.73,46.24,Average
2313,INST_19,Electrical Engineering,COURSE_087,FAC_0044,Semester 3,Postgraduate,62,69.07,53.76,32,131,46.01,38.49,68.3,96.83,68.58,88.69,82,35,37.01,34.08,2.61,48.41,53.59,67.1,50.34,88.01,60.12,62,76.64,2,9.49,3.85,54.34,6,71.53,75.16,70.46,Average
7041,INST_05,Information Technology,COURSE_131,FAC_0183,Semester 1,Postgraduate,20,62.68,68.82,10,173,74.15,38.93,69.67,38.6,68.74,91.77,94,37,15.71,29.26,3.76,77.85,55.02,81.35,72.61,62.62,69.53,96.76,31.73,21,51.41,1.84,39.61,15,91.48,41.35,47.61,Average
1890,INST_11,Electrical Engineering,COURSE_139,FAC_0323,Semester 4,Undergraduate,163,80.87,53.57,74,180,57.92,30.35,33.17,25.97,56.13,53.03,297,78,43.92,98.53,1.12,43.39,99.87,48.23,86.26,85.98,78.17,43.83,35.36,29,51.13,2.63,30.87,42,87.85,82.69,99.73,Poor
8992,INST_01,Computer Science,COURSE_008,FAC_0321,Semester 3,Undergraduate,112,97.12,76.3,126,91,77.62,36.46,79.33,89.24,96.26,43.44,34,30,54.33,23.06,3.32,89.15,57.28,93.69,68.45,46.04,97.32,51.63,90.24,11,47.14,4.1,70.04,17,59.65,37.07,90.84,Good
170,INST_17,Electronics,COURSE_096,FAC_0258,Semester 3,Undergraduate,75,89.17,52.18,108,453,54.63,87.93,48.82,26.85,80.72,90.4,146,75,43.6,91.81,4.08,94.33,94.05,83.26,98.7,81.07,68.95,85.08,35.96,11,119.1,1.58,36.24,45,45.1,47.36,76.89,Good
1796,INST_16,Economics,COURSE_051,FAC_0179,Semester 3,Doctoral,143,64.83,98.56,112,39,65.57,72.69,54.25,42.55,32.13,59.03,150,26,3.31,89.23,4.07,86.24,97.01,56.01,56.91,87.64,97.23,84.04,33.62,8,93.8,4.36,44.95,25,45.62,88.82,81.17,Good
3976,INST_18,Electronics,COURSE_144,FAC_0037,Semester 3,Postgraduate,158,58.94,90.28,31,65,82.31,63.77,61.6,59.73,42.53,64.82,58,17,24.3,52.37,3.23,48.64,47.89,78.36,74.27,90.05,64.97,60.94,74.43,22,93.87,4.36,27.07,31,74.31,53.42,86.07,Good
6821,INST_02,Chemistry,COURSE_046,FAC_0351,Semester 3,Postgraduate,169,83.75,71.35,115,406,76.06,69.76,59.63,90.54,39.69,50.49,187,66,4.81,83.59,3.56,75.53,78.91,96.96,87.9,67.33,67.31,30.69,97.81,3,64.51,1.01,65.24,44,80.5,99.95,34.8,Average
7827,INST_12,Civil Engineering,COURSE_184,FAC_0452,Semester 3,Doctoral,65,78.22,90.61,88,178,96.03,55.02,74.1,47.56,45.77,73.15,41,33,64.97,62.93,4.36,46.69,48.63,69.18,63.19,88.05,64.98,94.24,93.01,1,105.85,3.52,24.17,30,42.62,65.9,58.53,Average
11810,INST_05,Electrical Engineering,COURSE_157,FAC_0207,Semester 4,Doctoral,22,93.92,81.77,100,194,56.75,89.46,49.46,92.64,65.19,55.63,115,66,34.91,54.01,3.96,89.29,63.31,51.27,35.15,41.16,60.55,91.25,52.8,28,63.98,4.08,56.89,28,50.78,52.11,93.94,Good
1040,INST_02,Mechanical Engineering,COURSE_187,FAC_0072,Semester 1,Undergraduate,88,89.76,82.91,139,60,99.98,70.64,93.56,37.4,67.97,45.66,109,58,38.35,76.87,4.77,69.48,56.42,69.41,98.17,84.66,75.22,69.93,32.82,29,26.45,4.13,53.4,40,97.24,85.09,44.67,Good
2849,INST_13,Mechanical Engineering,COURSE_023,FAC_0031,Semester 4,Undergraduate,86,68.1,46.63,33,479,73.98,40.79,97.96,97.3,25.02,69.45,44,75,11.1,94.66,1.29,93.68,74.92,80.88,57.56,90.01,90.22,62.37,43.29,9,56.51,1.87,71.06,44,45.37,89.52,82.07,Average
3372,INST_12,Economics,COURSE_160,FAC_0419,Semester 1,Doctoral,28,66.78,77.1,26,419,55.25,82.52,59.84,73.04,43.71,59.03,103,20,54.5,83.07,3.9,98.01,48.65,56.54,38.26,57.42,72.42,84.16,93.51,13,9.93,4.77,87.17,38,48.71,62.31,33.68,Average
8830,INST_01,Economics,COURSE_002,FAC_0157,Semester 2,Postgraduate,21,67.84,75.8,139,211,55.92,53.37,61.21,73.57,94.39,75.23,199,61,66.24,30.5,3.67,45.45,52.4,93.99,49.06,48.81,87.96,84.63,56.52,17,89,1.6,74.88,17,94.36,91.24,93.27,Good
10350,INST_20,Computer Science,COURSE_079,FAC_0183,Semester 2,Undergraduate,131,72.19,44.66,51,403,84.44,94.76,92.6,89.01,98.65,92.84,45,51,16.53,57.26,3.78,45.89,77.35,92.3,84.69,61.24,99.83,89.48,83.18,13,51.23,4.99,37.83,31,88.32,92.34,58.75,Good
8798,INST_17,Computer Science,COURSE_013,FAC_0250,Semester 3,Doctoral,89,69.8,65.09,77,320,83.54,98.38,52.99,95.47,30,76.96,128,8,48.46,32.99,3.63,53.79,53.35,42.44,94,77.81,82.97,40.41,67.79,18,62.83,1.55,70.55,50,92.82,97.49,99.35,Good
765,INST_09,Business Administration,COURSE_147,FAC_0057,Semester 1,Doctoral,74,70.46,54.6,25,151,99.57,96.72,74.77,55.44,70.88,61.61,156,39,67.51,93.19,1.38,78.84,96.23,76.59,48.24,87.32,74.01,30.82,47.11,31,37.36,3.28,61.88,17,57.27,47.82,96.2,Average
1594,INST_15,Biotechnology,COURSE_038,FAC_0082,Semester 3,Doctoral,49,84.88,43.43,100,419,62.69,57.81,62.31,42.25,97.57,66.74,93,75,2.85,32.01,4.55,92.04,66.95,77.24,90.08,70.42,84.03,73.26,41.94,7,29.79,2.03,63.42,42,50.48,91.41,75.5,Good
14233,INST_17,Chemistry,COURSE_106,FAC_0293,Semester 1,Postgraduate,78,59.09,65.17,124,137,95.38,33.21,95.47,93.13,55.45,50.7,244,74,38.52,30.71,2.71,91.64,80.22,43.08,78.32,62.86,90.95,98.2,58.83,21,113.67,2.59,48.39,28,70.81,83.7,92.91,Average
5873,INST_11,Economics,COURSE_035,FAC_0055,Semester 2,Postgraduate,130,78.6,44.97,65,299,51.76,48.99,37.99,87.35,79.17,50.1,95,60,10.4,43.53,4.2,98.98,75.75,57.5,60,50.79,67.02,63.59,76.98,25,119.85,2.23,60.2,47,60.44,91.97,49.99,Good
9941,INST_19,Electrical Engineering,COURSE_073,FAC_0019,Semester 2,Postgraduate,171,76.66,54.63,92,28,64.92,91.41,89.13,41.51,53.11,89.34,6,25,27.45,97.47,3.95,60.56,94.45,98.63,58.92,58.92,82.21,84.53,79.32,5,75.57,3.23,89.5,37,59.24,40.53,99.02,Good
5170,INST_19,Biotechnology,COURSE_099,FAC_0251,Semester 2,Doctoral,151,72.79,72.05,43,476,87.11,93.96,67.13,70.99,82.29,45.52,209,5,1.07,65.55,2.3,97.41,64.66,65.42,96.85,81.49,97.51,43,96.81,14,44.06,4.11,78.65,41,49.63,46.67,49.48,Poor
10910,INST_03,Electronics,COURSE_171,FAC_0065,Semester 2,Undergraduate,83,68.72,46.35,26,442,85.4,37.5,40.12,77.2,34.65,61.52,263,68,66.8,86.34,1.87,91.25,86.76,96.67,48.61,41.05,96.89,65.88,80.36,12,43.5,4.97,79.38,22,93.7,82.96,50.18,Poor
4123,INST_08,Information Technology,COURSE_094,FAC_0085,Semester 2,Doctoral,81,90,44.95,77,19,77.83,95.22,49.38,99.9,60.79,58.31,174,62,46.67,72.06,3.93,68.66,88.22,43.1,53.64,89.39,66.34,87.65,97.46,3,116.14,4.41,97.1,6,43.26,45.54,42.68,Good
12949,INST_06,Electrical Engineering,COURSE_116,FAC_0450,Semester 2,Postgraduate,99,76.91,83.94,84,225,99.26,75.2,91.16,85.07,50.48,61.93,81,68,48.68,26.5,2.99,59.55,89.22,41.35,56.4,95.43,85.7,20.81,57.87,4,26.32,4.03,25.23,26,77.15,51.04,88.74,Good
14483,INST_17,Electrical Engineering,COURSE_024,FAC_0033,Semester 1,Undergraduate,179,66.9,69.83,12,21,71.43,68.63,75.77,94.04,71.87,76.29,271,68,31.96,89.66,1.2,81.95,82.74,49.92,35.96,68.11,70.23,61.9,33.82,20,68.88,2.01,37.36,27,76.36,35.52,70.77,Average
150,INST_06,Business Administration,COURSE_197,FAC_0503,Semester 1,Doctoral,92,80.46,54.59,37,30,64.44,88.02,39.56,70.51,26.62,58.31,164,60,34.04,58.58,1.27,59.07,52.33,88.2,97.54,50.77,79.5,58.97,75.53,22,86.06,1.93,86.67,38,45.85,51.91,46.4,Average
11737,INST_15,Civil Engineering,COURSE_010,FAC_0107,Semester 4,Undergraduate,149,76.62,37.05,148,455,94.48,31.35,59.61,48.64,30.58,91.63,75,29,9.37,93.7,4.23,82.14,93.42,78.07,54.85,77.94,79.42,70.12,85.97,32,51.73,2.47,31.44,15,41.71,85.19,72.53,Average
388,INST_20,Mechanical Engineering,COURSE_184,FAC_0372,Semester 3,Undergraduate,101,57.03,92.26,67,99,75.01,93.21,63.24,85.66,30.88,51.18,52,51,10.37,66.73,3.84,88.19,98.84,66.93,78.48,92.58,69.84,70.33,93.31,28,74.14,4.71,87.51,41,93.15,47.93,43.83,Average
3947,INST_17,Physics,COURSE_014,FAC_0256,Semester 2,Undergraduate,32,67.63,58.83,140,368,50.41,72.53,37.86,93.1,72.08,89.76,65,45,68.54,91.75,4.65,47.61,82.73,38,46.78,60.85,88.08,20.57,98.89,30,9.6,1.14,77.49,16,71.11,71.93,31.74,Average
13403,INST_02,Electrical Engineering,COURSE_093,FAC_0554,Semester 2,Doctoral,61,89.79,98.76,63,311,93.67,75.6,78.87,57.2,43.71,64.36,66,76,16.79,57.6,4.81,46.44,86.88,90.97,93.22,65.99,60.16,80.62,89.76,26,64.65,4.56,51.85,30,72.32,99.77,74.25,Good
1374,INST_05,Mechanical Engineering,COURSE_147,FAC_0369,Semester 3,Undergraduate,61,92.06,64.86,115,495,83.27,94.71,71.95,54.61,45.19,62.47,59,40,46.04,63.1,3.74,66.57,93.1,57.03,87.71,63.32,78.62,39.33,41,32,66.99,3.74,63.21,47,45.03,80.97,78.74,Good
2885,INST_12,Electronics,COURSE_036,FAC_0181,Semester 4,Doctoral,68,71.24,40.38,139,435,97.36,80.73,79.52,76.23,82.95,93.99,264,42,11.22,79.27,1.18,46.63,61.1,69.36,30.16,58.28,81.19,28.19,55.89,8,57.42,3.02,63.8,42,93.16,87.78,43.5,Average
14043,INST_09,Economics,COURSE_050,FAC_0167,Semester 4,Undergraduate,69,77.63,55.67,47,313,58.09,53.54,31.91,55.75,57.09,52.32,179,19,8.84,31.56,4.57,75.67,76.93,46.89,87.22,88.77,75.87,52.75,48.99,7,23.29,2.03,52.69,13,62.4,72.45,89.63,Average
11361,INST_09,Chemistry,COURSE_085,FAC_0125,Semester 2,Doctoral,67,95.07,44.82,31,62,95.57,62.54,43.39,83.5,37.11,91.73,98,57,57.85,75.94,1.97,86.3,84.45,53.02,78.28,98.67,96.18,53.14,96.08,16,105.08,2.63,23.13,3,71.5,48.38,82.08,Average
2992,INST_06,Economics,COURSE_114,FAC_0219,Semester 4,Postgraduate,116,76.45,42.96,28,242,49.98,38.85,64.99,33.98,86.71,96.14,106,65,28.89,94.63,1.59,93.77,61.02,61.58,95.55,79.1,83.84,50.62,69.15,5,113.65,1.97,86.55,46,78.75,85.85,40.72,Average
11596,INST_15,Physics,COURSE_135,FAC_0017,Semester 2,Undergraduate,100,55.87,56.61,127,136,52.11,44.37,87.22,43.63,85.87,41.96,74,10,17.43,91.46,4.29,75.92,45.24,48.26,96.58,66.32,85.91,69.5,81.9,19,34.28,3.5,78.03,37,60.02,98.1,72.26,Average
10582,INST_09,Mathematics,COURSE_189,FAC_0582,Semester 2,Postgraduate,118,81.24,77.6,82,493,95.33,64.08,95.29,58.32,42.45,82.64,77,2,5.21,80.71,1.23,74.44,62.88,37.98,41.81,47.93,89.95,63.79,51.36,34,95.03,4.67,40.41,38,64.77,87.08,51.44,Average
14868,INST_04,Mechanical Engineering,COURSE_187,FAC_0109,Semester 3,Undergraduate,44,60.88,55.11,126,168,61.01,65.91,62.12,93.98,50.29,54.38,236,57,5.64,46.42,4.24,45.86,98.67,92.4,52.16,96.09,85.71,51.4,98.31,33,12.82,4.86,70.47,40,69.98,85.03,59.22,Average
14425,INST_10,Electronics,COURSE_048,FAC_0366,Semester 3,Doctoral,88,73.02,76.02,38,41,75.88,30.68,94.88,37.78,69.53,48.62,158,10,58.79,79.91,1.87,48.4,65.8,98.85,42.87,40.22,96.8,24.07,73.03,35,51.37,3.99,45.32,2,43.37,64.04,89.74,Good
3025,INST_01,Electrical Engineering,COURSE_167,FAC_0078,Semester 2,Doctoral,180,87.5,65.73,63,147,46.03,66.24,41.98,87.48,74.29,44.3,96,18,4.25,67.61,1.95,57.89,99.05,64.92,79.27,44.18,65.37,39.82,45.88,16,116.91,4.32,97.98,23,43.87,40.42,38.51,Average
252,INST_03,Business Administration,COURSE_113,FAC_0289,Semester 2,Doctoral,112,84.31,53.01,24,263,71.94,70.35,45.37,42.21,54.71,42.4,161,78,33.07,37.08,2.32,45.4,66.53,76.97,51.09,92.13,61.97,49.03,77.55,14,118.25,1.61,88.42,13,98.76,62.76,73.19,Average
12147,INST_04,Biotechnology,COURSE_186,FAC_0004,Semester 2,Undergraduate,161,74.48,89.65,23,253,77.59,57.3,75.97,99.97,98.72,76.44,214,13,19.98,89.06,4.47,46.37,70.85,63.12,33.88,50.79,78.03,24.98,61.12,33,57.1,1.67,90.05,0,49.63,58.06,38.71,Good
11439,INST_14,Biotechnology,COURSE_016,FAC_0344,Semester 4,Undergraduate,21,55.97,96.88,11,466,91.35,97.31,62.25,46.11,32.17,64.73,7,64,41.49,72.69,4.23,80.42,95.37,92.05,67.76,67.73,72.95,90.16,77.73,23,109.54,4.56,54.62,24,92.47,89.49,32.49,Average
7093,INST_03,Biotechnology,COURSE_104,FAC_0486,Semester 3,Undergraduate,73,63.57,97.93,22,333,93.9,99.94,86.48,60.92,82.18,89.51,134,54,9.34,40.08,3.63,86.8,75.12,64,46.25,84.37,81.63,86.56,89.98,11,36.86,1.3,76.26,50,97.52,80.36,92.8,Excellent
933,INST_15,Mechanical Engineering,COURSE_123,FAC_0502,Semester 1,Doctoral,81,65.3,86.3,150,205,95.21,68.58,99.82,55.35,66.48,56.21,232,11,52.22,27.14,3.8,70.49,96.89,66.16,50.92,91.12,69.62,24.08,46.45,23,100.18,1.28,45.13,11,54.99,77.25,31.18,Average
7218,INST_08,Economics,COURSE_119,FAC_0173,Semester 2,Doctoral,158,95.14,99.7,110,244,73.43,73.74,40.38,58.41,73.68,55.44,61,40,39,27.13,4.84,40.34,65.82,71.74,43.35,66.15,81.4,48.56,95.47,25,23.08,3.54,64.91,50,84.74,92.46,59.57,Excellent
3685,INST_01,Physics,COURSE_020,FAC_0089,Semester 2,Doctoral,69,62.43,81.9,51,59,69.89,95.11,60.78,52.2,88.81,76.86,92,19,11.6,48.96,2.96,44.92,76.13,68.79,72.81,60.25,88.7,38.12,81.95,28,72.44,2.51,43.41,34,62.7,88.37,62.95,Good
8369,INST_16,Chemistry,COURSE_188,FAC_0235,Semester 1,Postgraduate,125,96.31,65.18,66,413,69.39,35.14,62.16,34.14,27.25,45.58,158,35,42.33,49.11,1.74,73.17,73.66,72.55,67.42,53.81,63.76,47.39,82.4,21,100.64,2.99,21.69,6,43.62,98,98.74,Average
9479,INST_05,Electrical Engineering,COURSE_007,FAC_0159,Semester 3,Undergraduate,73,95.82,93.74,106,189,87.18,39.37,50.56,55.01,97.45,71.14,180,6,67.74,39.7,3.2,90.69,79.64,59.95,90.19,53.64,85.37,44.98,94.21,10,62.72,3.95,97.02,45,76.49,79.28,56.82,Good
11725,INST_13,Information Technology,COURSE_141,FAC_0574,Semester 4,Postgraduate,180,90.7,97.23,126,36,82.85,54.99,87.97,86.26,98.1,94.77,1,74,70.78,96.19,3.75,53.92,84.95,72.39,88.12,44.73,79.39,69.01,98.9,3,49.72,1.47,80,8,75.31,92.06,75.3,Excellent
7418,INST_16,Physics,COURSE_065,FAC_0079,Semester 1,Doctoral,152,56.07,90.06,144,485,83.19,85.96,54.27,47.91,33.55,64.4,208,71,53.66,80.6,3.22,90.16,99.1,45,71.69,45.15,89.5,78.12,58.15,17,45.91,3.05,69.45,41,58.6,51,93.16,Average
10505,INST_03,Chemistry,COURSE_048,FAC_0515,Semester 2,Postgraduate,80,98.9,84.64,121,494,51.23,98.97,76.59,78.57,52.24,58.86,252,44,29.11,21.09,3.55,42.13,96.63,83.83,51.05,44.68,63.49,46.79,52.74,35,116.82,4.08,94.86,16,80.41,38.55,36.31,Good
10516,INST_11,Economics,COURSE_153,FAC_0593,Semester 1,Doctoral,99,81.08,98.88,44,206,92.91,30.26,64.25,62.18,74.9,60.45,19,67,63.23,60.62,1.08,68.45,72.85,59.92,73.51,94.35,80.7,46.09,75.97,26,0.37,4.58,41.56,25,64.05,54.13,91.25,Good
13510,INST_20,Computer Science,COURSE_029,FAC_0030,Semester 3,Doctoral,148,84.45,96.67,132,398,57.19,76.57,42.23,84.72,85.19,82.88,153,31,29.83,78.6,1.05,58.03,53.65,87.35,69.01,64.38,90.22,99.41,60.36,19,16.54,4.04,83.24,16,49.85,69.87,54.79,Good
7173,INST_18,Biotechnology,COURSE_088,FAC_0269,Semester 1,Undergraduate,49,68.28,84.37,72,429,58.99,88.07,90.56,72.31,89.35,60.23,287,11,36.74,72.14,1.61,50.95,67.46,74.02,44.49,82.83,90.52,74.48,43.95,25,81.65,1.82,82.39,31,90.65,47.88,54.66,Good
3329,INST_04,Business Administration,COURSE_191,FAC_0519,Semester 1,Postgraduate,177,89.14,96.64,58,44,77.19,94.18,72.98,99.2,28.63,77.2,287,1,36.93,56.68,2.2,73.37,68.79,54.99,76.14,98.58,67.94,64.47,46.31,29,110.88,3.61,88.9,25,68.23,84.33,32.04,Good
5024,INST_08,Computer Science,COURSE_031,FAC_0100,Semester 2,Postgraduate,126,68.93,60.3,59,453,72.56,55.98,90.75,78.49,34.03,99.56,29,63,10.85,52.43,3.54,89.8,55.1,71.13,44.06,73.87,62.46,63.71,39.27,9,97.6,3.66,63.93,23,58.33,95.53,69.2,Average
2215,INST_08,Information Technology,COURSE_060,FAC_0355,Semester 2,Undergraduate,146,76.03,42.64,16,381,64.58,52.17,37.47,63.97,74.38,76.85,117,52,51.58,58.61,3.48,95.39,61.76,49.39,85.6,75.59,94.76,85.65,95.47,21,4.43,2.43,96.25,43,89.28,68.92,93.08,Average
2217,INST_08,Physics,COURSE_162,FAC_0069,Semester 4,Doctoral,47,89.78,79.1,107,197,94.5,80.92,88.46,65.14,37.45,51.21,92,14,42.75,74.67,1.4,91.51,40.37,91.4,73.23,75.75,95.73,52.24,91.63,9,11.69,2.17,27.92,9,86.53,64.23,43.39,Good
14796,INST_14,Biotechnology,COURSE_187,FAC_0213,Semester 1,Undergraduate,103,86.66,68.3,26,389,65.48,53.18,48.23,93.1,75.98,96.53,206,43,43.73,91.55,3.73,98.49,72.93,76.88,54.09,48.66,85.39,96.5,84.6,10,21.13,2.68,65.85,22,48.13,53.02,72.22,Average
2860,INST_01,Mechanical Engineering,COURSE_182,FAC_0138,Semester 3,Undergraduate,121,88.49,35.41,81,141,65.67,49.26,51.41,79.18,43.53,45.81,37,6,41.16,61.47,3.38,76.67,96.39,90.43,64.18,69.16,87.95,90.73,54.76,7,88.49,3.29,23.09,43,91.29,53.71,83.4,Average
4025,INST_17,Business Administration,COURSE_183,FAC_0545,Semester 3,Undergraduate,114,59.65,40.77,54,209,66.04,44.96,74.37,57.68,57.23,72.28,244,15,51.58,51.73,4.81,87.25,84.92,90.33,32.89,67.66,99.76,99.79,89.4,12,16.44,1.17,42.07,39,62.71,58.93,93.16,Good
2761,INST_12,Electrical Engineering,COURSE_029,FAC_0496,Semester 4,Undergraduate,143,88.95,73.79,19,321,59.56,93.55,85.65,77.52,97.42,87.42,88,7,13.62,58.81,2.84,90.68,54.21,53.64,86.09,49.39,75.63,98.8,75.08,14,61.61,4.05,71.82,19,83.07,89.4,39.77,Good
