Teacher_ID,Institution_ID,Department,Academic_Rank,Qualification_Level,Employment_Type,Assessment_Year,Assessment_Round,Years_of_Experience,Teaching_Effectiveness_Score,Student_Feedback_Score,Peer_Evaluation_Score,Course_Completion_Rate,Curriculum_Innovation_Score,Teaching_Load_Hours_Per_Week,Digital_Teaching_Adoption_Score,Student_Outcome_Improvement_Score,Publication_Count,Journal_Quality_Index,Citation_Count,Research_Project_Count,Research_Funding_Amount_Lakh,Patent_Count,Conference_Presentation_Count,Research_Collaboration_Index,Training_Hours_Completed,Workshop_Participation_Count,Certification_Count,Faculty_Development_Program_Score,Lifelong_Learning_Index,Mentoring_Score,Academic_Service_Score,Committee_Participation_Count,Leadership_Role_Count,Institutional_Contribution_Score,Community_Extension_Score,Ethics_Compliance_Score,Punctuality_Score,Assessment_Submission_Timeliness,Absenteeism_Days,Student_Grievance_Count,Administrative_Compliance_Score,Teaching_Dimension_Score,Research_Dimension_Score,Professional_Development_Dimension_Score,Institutional_Service_Dimension_Score,Ethics_Reliability_Dimension_Score,Development_Quality_Score,Low_Development_Score,Moderate_Development_Score,High_Development_Score,Development_Quality_Level
TCH_00011,University_C,Physics,Professor,PhD,Contract,2021,Round_2,21,61.55,71.4,77.95,72.41,65.19,28.0,61.48,68.51,7,63.59,102.0,0,42.34,0,2,61.26,54.97,4,2,56.67,55.29,65.15,66.39,1,0,53.41,60.95,80.55,74.09,64.86,4,5,75.73,42.88,32.3,31.13,30.18,54.18,34.46,0.873,0.0,0.0,Improvement_Oriented
TCH_00012,University_G,Biotechnology,Assistant Professor,Master,Permanent,2024,Round_2,10,83.86,83.14,80.26,95.42,83.81,19.35,73.57,81.01,6,74.39,97.0,4,27.08,1,11,78.2,60.64,1,1,79.59,78.41,62.67,73.14,6,0,76.64,66.36,95.27,80.47,84.38,4,4,83.26,70.13,45.02,40.59,43.34,72.74,60.1,0.14,0.604,0.0,Moderate_Development
TCH_00013,University_C,English,Professor,PhD,Permanent,2021,Round_2,21,86.62,89.11,80.06,88.15,77.52,10.58,73.72,73.96,8,71.0,129.0,4,29.63,1,7,80.47,54.25,4,3,68.39,72.11,69.3,74.68,2,2,81.21,69.7,90.34,90.38,86.07,8,4,82.99,66.94,46.1,41.99,46.5,70.87,55.16,0.281,0.406,0.0,Moderate_Development
TCH_00014,University_C,Education,Assistant Professor,PhD,Contract,2021,Round_1,7,75.67,76.74,71.74,71.79,77.33,19.68,75.61,67.32,6,44.96,61.0,5,7.46,0,5,66.5,42.51,7,2,65.0,75.07,76.07,68.26,4,1,51.95,81.86,79.92,66.5,82.13,4,8,68.42,51.75,25.84,41.82,42.49,50.69,42.22,0.651,0.0,0.0,Improvement_Oriented
TCH_00015,University_H,English,Associate Professor,Postdoctoral,Permanent,2021,Round_1,13,81.85,75.35,79.23,86.87,73.59,10.0,68.22,76.58,9,70.55,100.0,2,11.93,1,7,75.14,55.6,4,1,62.29,83.37,79.24,68.9,10,1,73.25,60.55,90.6,82.88,78.19,0,1,77.78,60.08,38.04,39.98,50.4,75.33,53.11,0.34,0.324,0.0,Improvement_Oriented
TCH_00016,University_E,English,Associate Professor,PhD,Permanent,2023,Round_2,7,72.51,65.95,67.93,81.28,63.94,11.07,66.4,84.99,8,60.03,75.0,2,22.04,1,6,65.49,,2,0,66.92,75.12,57.95,73.81,3,1,65.34,56.39,85.75,76.37,84.46,6,3,67.04,49.83,33.38,36.42,35.83,62.15,44.26,0.593,0.0,0.0,Improvement_Oriented
TCH_00017,University_D,Electrical Engineering,Assistant Professor,PhD,Permanent,2024,Round_1,9,90.84,84.95,85.6,94.86,98.59,7.66,96.86,86.26,7,79.04,106.0,3,,0,5,89.47,55.58,3,1,97.93,90.14,67.1,84.74,4,2,77.0,86.22,96.68,83.74,85.23,6,3,100.0,83.59,37.69,51.74,53.02,79.3,62.52,0.071,0.701,0.0,Moderate_Development
TCH_00018,University_H,Physics,Associate Professor,PhD,Permanent,2025,Round_2,2,79.07,74.22,,86.99,79.9,17.3,74.76,71.17,8,68.97,81.0,3,27.06,0,3,65.38,59.54,4,2,68.36,74.55,70.44,70.87,3,0,61.67,71.67,81.65,79.98,75.05,3,5,89.98,62.2,33.11,41.71,39.14,64.85,50.58,0.412,0.223,0.0,Improvement_Oriented
TCH_00019,University_H,Management,Lecturer,PhD,Contract,2025,Round_1,4,71.82,68.65,72.53,82.63,67.52,7.12,66.14,65.39,8,58.43,67.0,0,9.45,1,5,59.34,54.2,6,2,78.34,69.13,64.86,61.61,7,0,70.2,69.83,82.97,69.87,74.13,5,3,76.84,47.87,26.47,44.74,41.27,59.15,42.47,0.644,0.0,0.0,Improvement_Oriented
TCH_00020,University_C,Computer Science,Assistant Professor,Master,Permanent,2023,Round_2,1,75.62,,75.23,83.35,72.15,13.74,76.43,86.27,3,62.07,73.0,4,12.51,0,5,67.3,54.1,6,2,69.62,78.99,73.35,74.96,4,3,69.89,69.78,82.64,81.4,79.56,8,4,73.92,58.17,28.51,45.22,48.59,59.75,46.48,0.529,0.059,0.0,Improvement_Oriented
TCH_00021,University_F,Biotechnology,Professor,PhD,Permanent,2021,Round_1,20,86.44,97.72,92.16,96.0,97.2,18.53,98.7,94.66,12,93.69,157.0,3,16.86,3,10,96.79,75.87,5,3,95.85,88.58,83.95,99.85,7,3,96.35,81.36,96.06,93.49,94.48,3,1,91.45,89.92,59.87,60.87,69.74,87.96,73.03,0.0,0.879,0.268,Moderate_Development
TCH_00022,University_E,English,Assistant Professor,PhD,Permanent,2025,Round_2,4,74.74,75.84,79.17,88.12,80.75,14.0,75.39,87.62,10,69.78,72.0,3,18.21,1,3,84.1,52.13,11,2,80.8,75.22,65.63,75.93,1,1,84.55,74.15,90.15,80.39,91.44,8,2,74.37,64.43,37.01,53.75,44.92,69.54,54.1,0.311,0.364,0.0,Improvement_Oriented
TCH_00023,University_B,Mechanical Engineering,Lecturer,PhD,Permanent,2024,Round_2,1,83.24,85.5,89.95,83.52,100.0,14.39,84.02,72.74,10,73.83,91.0,6,12.15,0,3,93.42,73.3,5,6,74.56,79.54,97.5,87.92,6,1,84.53,82.14,100.0,99.37,92.69,5,3,82.58,72.85,40.2,56.99,63.23,84.04,60.26,0.135,0.61,0.0,Moderate_Development
TCH_00024,University_H,English,Assistant Professor,Master,Permanent,2022,Round_2,7,85.63,77.82,76.14,84.83,82.04,17.18,77.57,80.89,11,71.93,96.0,3,18.98,0,11,71.37,69.68,2,3,77.05,80.45,76.91,89.07,3,0,70.8,77.64,89.51,84.48,83.38,5,3,86.17,65.17,41.3,47.4,48.9,72.53,53.72,0.322,0.349,0.0,Improvement_Oriented
TCH_00025,University_D,Electrical Engineering,Professor,PhD,Contract,2024,Round_1,19,85.54,93.5,83.49,93.77,79.44,15.33,81.12,98.62,12,98.0,132.0,4,,0,9,83.61,96.75,6,2,77.7,91.77,88.23,88.75,4,0,81.76,68.66,92.44,97.81,91.28,4,2,92.13,78.75,50.42,59.39,53.62,84.68,63.39,0.046,0.736,0.0,Moderate_Development
TCH_00026,University_F,Management,Lecturer,Postdoctoral,Permanent,2021,Round_2,4,79.82,76.62,71.97,77.39,64.1,17.59,68.18,76.76,11,56.58,57.0,4,17.4,0,5,66.35,52.48,1,2,65.28,64.22,70.33,60.89,6,0,59.44,62.43,81.6,72.44,73.18,8,4,75.1,52.78,31.08,32.19,37.22,54.67,41.59,0.669,0.0,0.0,Improvement_Oriented
TCH_00027,University_F,Mechanical Engineering,Assistant Professor,Master,Permanent,2024,Round_2,8,81.49,88.8,79.11,87.51,84.3,16.15,78.95,80.4,13,78.42,88.0,0,12.84,1,2,75.92,34.78,4,1,70.62,77.89,71.1,84.7,9,2,76.45,50.82,90.59,76.69,93.55,2,6,91.27,69.1,35.5,37.07,51.46,73.58,57.8,0.206,0.512,0.0,Moderate_Development
TCH_00028,University_B,Biotechnology,Professor,PhD,Contract,2021,Round_2,8,80.7,78.88,74.83,80.31,72.49,13.04,62.93,70.39,10,67.69,90.0,3,22.97,1,7,82.11,72.74,5,1,67.5,80.48,88.37,77.14,5,1,62.13,76.12,82.91,77.66,76.72,6,2,75.33,54.2,41.47,45.03,50.25,62.6,52.78,0.349,0.311,0.0,Improvement_Oriented
TCH_00029,University_H,Mechanical Engineering,Assistant Professor,PhD,Permanent,2024,Round_2,12,78.98,65.59,78.86,84.65,71.16,13.67,75.9,83.07,9,71.51,99.0,3,26.75,0,3,72.18,46.83,4,2,71.64,77.86,86.71,64.99,3,3,71.2,85.73,90.02,81.38,89.25,4,4,77.54,58.94,36.57,41.52,52.4,70.57,48.61,0.468,0.144,0.0,Improvement_Oriented
TCH_00030,University_D,Physics,Assistant Professor,Master,Permanent,2023,Round_1,1,96.32,93.0,89.23,96.6,100.0,14.05,90.65,100.0,5,98.22,111.0,5,12.95,2,8,95.52,86.17,3,0,100.0,92.67,89.18,89.1,6,5,97.96,88.7,100.0,98.16,94.89,2,2,92.13,90.88,50.8,56.63,72.75,91.02,69.62,0.0,0.985,0.154,Moderate_Development
TCH_00031,University_E,Education,Associate Professor,PhD,Permanent,2024,Round_1,13,81.98,76.6,76.57,89.08,66.14,11.6,73.82,81.2,6,72.17,102.0,4,6.39,2,9,76.05,69.98,2,1,84.26,84.1,79.45,80.69,9,0,76.87,67.16,79.99,75.64,84.31,5,5,80.07,61.44,41.3,46.84,52.99,61.12,52.03,0.371,0.281,0.0,Improvement_Oriented
TCH_00032,University_A,Education,Associate Professor,Postdoctoral,Visiting,2025,Round_2,15,78.45,66.7,63.6,84.46,63.44,12.16,64.13,70.19,8,58.0,71.0,3,12.41,0,4,61.2,44.81,0,1,58.75,70.61,74.92,52.73,7,0,63.76,64.8,84.75,73.19,84.41,5,1,70.82,47.32,27.51,27.55,39.04,65.36,41.53,0.671,0.0,0.0,Improvement_Oriented
TCH_00033,University_D,Biotechnology,Professor,Master,Permanent,2022,Round_1,22,80.62,83.75,76.89,84.84,58.79,21.59,68.67,59.0,6,64.34,106.0,3,9.3,0,4,61.85,61.75,7,0,69.17,86.06,74.87,77.15,3,0,68.45,69.85,85.56,75.36,89.98,1,0,78.71,53.36,29.92,46.05,43.15,75.24,47.02,0.514,0.081,0.0,Improvement_Oriented
TCH_00034,University_B,Management,Assistant Professor,PhD,Permanent,2023,Round_2,9,80.14,92.38,,93.02,71.88,7.82,84.07,83.77,10,76.44,91.0,4,24.11,3,8,82.49,72.85,3,1,83.41,85.91,83.54,84.0,10,1,85.15,81.93,91.12,82.73,81.43,6,3,88.65,72.9,49.11,49.0,62.85,71.95,59.64,0.153,0.586,0.0,Moderate_Development
TCH_00035,University_F,Education,Professor,PhD,Contract,2024,Round_1,15,95.98,86.82,94.54,89.78,100.0,12.97,98.09,92.58,13,78.83,138.0,7,22.86,0,5,91.54,61.57,3,1,80.32,94.75,92.01,78.52,7,1,91.69,,97.16,88.25,88.24,2,1,87.0,88.37,50.41,48.89,64.09,84.28,71.81,0.0,0.928,0.227,Moderate_Development
TCH_00036,University_E,Mathematics,Professor,PhD,Contract,2021,Round_2,19,84.33,95.43,83.73,92.35,77.79,7.66,79.03,84.53,10,89.05,129.0,3,39.67,3,3,96.43,43.45,4,2,81.11,98.45,76.42,76.14,9,0,77.41,70.17,89.6,87.85,78.93,1,2,76.25,74.2,55.38,50.43,51.85,74.07,63.77,0.035,0.751,0.0,Moderate_Development
TCH_00037,University_D,Electrical Engineering,Assistant Professor,Master,Permanent,2023,Round_2,8,85.22,84.16,94.53,86.85,86.48,19.58,84.52,87.79,9,76.24,89.0,7,28.95,0,6,77.36,55.1,6,2,81.54,83.79,84.64,83.26,10,4,92.57,65.84,90.42,88.05,77.76,6,6,86.7,76.6,43.55,50.59,66.31,67.45,63.39,0.046,0.736,0.0,Moderate_Development
TCH_00038,University_A,Biotechnology,Lecturer,Postdoctoral,Permanent,2025,Round_2,1,97.32,76.4,,89.89,100.0,12.49,81.25,91.21,13,93.45,85.0,4,24.71,0,11,80.5,77.35,0,1,82.02,85.78,86.43,87.63,3,3,84.72,60.64,89.64,83.64,96.28,3,3,94.53,81.26,48.71,45.34,55.83,80.57,61.06,0.113,0.642,0.0,Moderate_Development
TCH_00039,University_A,Biotechnology,Professor,PhD,Permanent,2022,Round_2,23,83.39,73.93,76.91,84.68,72.39,15.88,86.68,73.94,9,68.5,120.0,4,18.31,2,6,80.81,67.08,5,3,71.32,88.28,78.7,68.0,2,1,84.95,,96.33,84.67,81.33,4,3,76.85,62.31,44.66,51.7,47.82,73.12,55.87,0.261,0.435,0.0,Moderate_Development
TCH_00040,University_C,Computer Science,Associate Professor,Master,Permanent,2022,Round_2,13,79.76,72.54,77.05,92.34,65.44,11.98,80.91,91.79,10,78.56,95.0,1,3.68,2,9,78.07,46.54,4,3,73.81,75.57,79.17,71.22,3,0,82.49,79.29,94.85,80.04,80.41,3,2,90.71,65.19,40.98,43.39,48.35,76.91,55.78,0.263,0.431,0.0,Moderate_Development
TCH_00041,University_C,Computer Science,Associate Professor,Master,Permanent,2024,Round_2,12,84.34,75.93,82.91,82.89,78.09,15.89,71.84,76.98,12,62.03,102.0,2,5.84,0,4,63.5,45.49,7,2,69.74,79.77,79.94,75.68,6,0,74.11,,84.56,79.39,65.51,5,1,75.2,62.45,30.9,45.31,48.62,62.48,46.72,0.522,0.069,0.0,Improvement_Oriented
TCH_00042,University_G,Physics,Associate Professor,PhD,Permanent,2025,Round_1,16,82.4,75.13,87.31,90.83,74.03,16.97,84.12,83.62,3,87.96,115.0,3,22.69,2,0,89.19,87.5,11,2,88.67,81.07,89.73,100.0,3,0,100.0,58.89,100.0,91.51,95.73,4,3,89.13,69.35,41.85,64.33,58.16,85.2,64.2,0.023,0.768,0.0,Moderate_Development
TCH_00043,University_B,Physics,Professor,PhD,Permanent,2025,Round_1,12,70.41,62.46,77.8,83.82,75.31,13.0,56.57,59.3,2,55.21,71.0,1,16.71,0,5,59.11,41.72,3,1,72.6,64.45,54.23,54.93,3,1,57.23,52.21,82.88,70.27,81.64,5,3,82.71,45.56,23.43,33.26,27.27,63.36,39.97,0.715,0.0,0.0,Improvement_Oriented
TCH_00044,University_H,Computer Science,Professor,PhD,Permanent,2022,Round_1,13,69.67,64.73,78.27,73.71,69.66,18.86,71.14,67.78,12,55.2,92.0,6,24.4,1,4,65.73,55.84,4,0,62.83,71.47,67.52,72.83,6,3,73.24,61.55,86.33,79.47,67.4,7,2,77.25,47.06,38.59,34.37,47.66,61.45,49.68,0.438,0.187,0.0,Improvement_Oriented
TCH_00045,University_D,Education,Assistant Professor,Postdoctoral,Permanent,2022,Round_2,8,81.24,82.28,82.39,84.85,76.98,5.47,76.66,81.86,14,75.5,81.0,4,20.97,0,7,80.34,50.58,5,1,75.13,81.72,72.08,79.61,6,2,80.11,84.29,92.55,74.28,79.05,1,0,84.16,65.79,42.23,43.82,55.51,76.1,52.64,0.353,0.306,0.0,Improvement_Oriented
TCH_00046,University_D,Chemistry,Assistant Professor,PhD,Contract,2025,Round_1,5,89.81,85.94,87.42,93.65,70.78,14.55,73.96,86.86,12,73.58,222.55363567502175,3,29.88,1,7,74.94,49.12,3,5,98.15,87.62,92.1,89.61,8,1,76.46,100.0,95.26,92.46,88.19,2,4,84.6,72.83,44.53,57.85,66.18,79.91,61.23,0.108,0.649,0.0,Moderate_Development
TCH_00047,University_H,Biotechnology,Professor,Postdoctoral,Permanent,2022,Round_2,19,70.15,73.44,85.14,84.37,74.24,11.81,82.84,64.02,7,66.58,97.0,1,15.13,1,5,82.48,67.52,2,0,71.7,71.67,59.53,78.53,3,1,71.3,77.05,87.99,87.86,90.0,1,3,83.35,57.62,35.68,36.56,43.38,77.59,47.35,0.504,0.094,0.0,Improvement_Oriented
TCH_00048,University_G,Mathematics,Professor,PhD,Permanent,2021,Round_1,19,90.23,66.85,89.03,88.13,76.9,9.78,84.05,84.28,11,68.13,93.0,7,4.98,0,5,82.81,51.28,5,1,69.81,77.42,69.26,75.36,0,4,69.01,82.76,86.25,82.56,73.98,3,3,85.1,69.79,38.96,40.94,47.71,68.77,51.47,0.387,0.259,0.0,Improvement_Oriented
TCH_00049,University_F,Biotechnology,Associate Professor,Master,Contract,2022,Round_2,16,92.23,84.1,90.61,90.41,80.47,13.47,78.39,100.0,19,83.19,127.0,7,17.61,1,7,93.32,88.83,2,4,87.3,82.52,86.53,71.78,9,0,80.7,85.37,95.72,87.29,88.94,1,0,96.0,79.03,56.02,56.62,57.56,88.39,67.08,0.0,0.883,0.069,Moderate_Development
TCH_00050,University_F,English,Professor,PhD,Permanent,2021,Round_1,18,85.88,83.38,80.55,86.34,76.12,16.37,66.52,80.21,13,73.75,121.0,2,23.29,1,6,69.34,30.14,7,2,81.04,68.75,81.08,75.78,5,1,75.04,66.3,84.8,88.34,98.39,3,2,91.34,64.37,42.84,42.5,49.07,81.06,51.78,0.378,0.271,0.0,Improvement_Oriented
TCH_00051,University_G,Management,Associate Professor,PhD,Permanent,2022,Round_2,13,66.62,76.57,67.97,79.98,65.4,11.78,76.88,58.33,5,58.35,76.0,0,8.56,1,7,56.26,39.4,8,2,66.04,57.45,71.1,69.65,4,0,55.5,36.2,80.52,67.56,61.52,4,2,64.0,46.62,26.38,37.26,30.83,51.72,38.75,0.75,0.0,0.0,Improvement_Oriented
TCH_00052,University_F,Electrical Engineering,Assistant Professor,Master,Contract,2023,Round_1,7,71.05,,75.86,84.13,64.19,21.89,86.9,74.17,7,67.24,88.0,0,9.64,1,1,66.96,55.1,6,5,70.73,75.91,78.84,55.86,3,4,64.15,57.97,79.32,83.46,81.86,6,3,80.44,57.28,27.73,50.75,41.97,64.63,43.78,0.606,0.0,0.0,Improvement_Oriented
TCH_00053,University_C,Chemistry,Professor,PhD,Permanent,2023,Round_2,24,69.11,70.47,67.0,72.54,52.89,13.3,59.78,64.05,6,38.03,78.0,3,22.78,0,3,55.35,55.51,2,0,56.92,51.39,55.86,58.15,0,1,53.04,51.71,78.16,61.61,65.46,5,5,63.62,37.89,23.96,23.39,24.23,44.88,33.33,0.905,0.0,0.0,Improvement_Oriented
TCH_00054,University_D,Mathematics,Assistant Professor,PhD,Permanent,2023,Round_1,6,74.56,84.02,75.1,80.47,94.06,6.35,78.51,66.04,11,81.26,79.0,5,10.74,0,7,61.22,51.46,5,1,76.88,76.65,67.73,62.38,3,2,64.32,63.55,76.96,82.18,71.42,8,5,84.46,60.78,37.25,42.89,38.56,56.51,44.75,0.579,0.0,0.0,Improvement_Oriented
TCH_00055,University_G,English,Lecturer,PhD,Contract,2021,Round_2,4,77.23,77.97,77.17,82.22,74.21,15.86,74.47,73.38,8,61.45,57.0,2,23.93,2,4,70.69,43.35,6,2,93.65,83.67,91.01,75.92,3,1,68.08,81.24,87.73,88.06,76.44,5,4,85.89,58.11,34.12,52.17,51.15,69.19,53.6,0.326,0.344,0.0,Improvement_Oriented
TCH_00056,University_D,Physics,Assistant Professor,Postdoctoral,Permanent,2021,Round_1,1,89.76,89.31,80.14,82.99,81.22,14.06,72.58,78.0,13,79.59,52.0,2,8.92,2,7,65.36,61.81,8,0,81.08,78.53,73.37,77.14,3,2,78.69,69.75,85.81,88.51,86.78,4,4,81.47,67.6,37.62,48.62,48.6,71.35,52.89,0.346,0.316,0.0,Improvement_Oriented
TCH_00057,University_H,Mathematics,Associate Professor,PhD,Contract,2024,Round_1,7,81.36,86.9,74.59,89.81,65.45,11.76,80.78,86.9,14,66.13,76.0,3,7.55,1,3,82.51,69.76,8,2,76.79,77.06,81.01,75.85,2,0,80.06,70.31,86.54,84.61,79.55,2,1,86.76,66.43,36.33,52.25,46.39,75.45,54.23,0.308,0.369,0.0,Improvement_Oriented
TCH_00058,University_A,Computer Science,Professor,Master,Contract,2024,Round_1,16,79.78,77.68,66.67,84.57,71.15,13.5,70.07,74.04,12,71.26,93.0,8,10.29,0,3,60.88,43.82,7,0,88.48,63.7,78.41,75.1,1,1,70.9,61.67,85.69,78.58,81.0,5,4,86.52,55.17,36.89,41.59,41.99,66.84,47.38,0.503,0.095,0.0,Improvement_Oriented
TCH_00059,University_C,Biotechnology,Assistant Professor,PhD,Permanent,2022,Round_1,4,74.68,83.77,78.98,76.29,79.59,8.6,65.49,66.71,6,70.87,56.0,3,21.83,0,4,63.23,60.84,4,2,73.18,77.6,72.04,63.55,5,1,64.05,62.78,80.61,81.95,80.25,4,5,68.29,54.61,29.74,44.4,40.17,59.55,44.01,0.6,0.0,0.0,Improvement_Oriented
TCH_00060,University_E,Mathematics,Assistant Professor,Master,Permanent,2021,Round_1,2,91.39,88.15,82.04,91.84,79.24,17.57,94.62,78.36,9,71.84,82.0,3,15.06,1,3,68.42,69.05,7,3,68.2,90.92,75.36,82.63,10,1,71.88,68.48,89.08,79.69,75.72,5,4,74.61,76.25,34.42,54.61,54.14,63.56,58.68,0.181,0.547,0.0,Moderate_Development
TCH_00061,University_C,Management,Associate Professor,Master,Visiting,2023,Round_1,11,71.72,80.87,73.1,88.64,78.46,18.91,81.37,73.05,8,69.57,90.0,1,,0,2,67.12,63.16,3,3,62.85,75.41,85.28,71.2,6,0,76.82,52.89,83.58,95.37,65.55,5,2,80.86,60.73,31.94,41.61,45.95,67.51,47.26,0.507,0.09,0.0,Improvement_Oriented
TCH_00062,University_G,Mechanical Engineering,Professor,Master,Permanent,2023,Round_2,18,70.54,72.14,72.45,86.56,69.46,15.3,77.4,65.47,13,68.08,95.0,4,11.53,1,1,50.02,55.54,2,1,76.69,61.5,67.57,76.74,3,0,68.77,66.67,82.3,78.55,83.19,6,4,67.74,52.77,32.54,34.69,40.51,59.71,39.89,0.717,0.0,0.0,Improvement_Oriented
TCH_00063,University_E,Physics,Associate Professor,PhD,Contract,2023,Round_1,3,62.34,59.43,68.78,87.96,58.94,13.44,74.85,59.18,8,52.54,51.0,1,17.02,1,2,56.76,,2,3,44.35,52.44,61.42,64.78,1,1,60.98,59.31,72.63,73.58,76.85,4,2,63.39,42.54,24.03,25.75,31.99,54.89,32.97,0.915,0.0,0.0,Improvement_Oriented
TCH_00064,University_A,Electrical Engineering,Associate Professor,Master,Permanent,2022,Round_2,10,95.35,82.56,86.73,81.86,53.83,12.09,95.86,82.52,10,80.64,100.0,4,17.51,1,11,51.55,59.08,4,3,77.04,81.75,80.3,93.58,3,3,74.89,80.21,99.13,88.52,89.82,3,4,82.16,70.2,42.0,48.6,57.48,79.35,58.8,0.177,0.552,0.0,Moderate_Development
